PoF,Source,Sorted
1.0352878693376162,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.021081198068712,"beta(0.5, 0.5)",True
1.0020807022433122,"beta(0.6, 0.1)",False
1.0063752355301645,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0823680561220326,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0232256758124938,KDE,True
1.0,"uniform(0, 1)",False
1.0549882561140016,"uniform(0, 1)",True
1.002490241527578,"beta(1, 6)",False
1.0189608699693278,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0250876954406818,"beta(6, 1)",True
1.0122535241145958,"beta(2, 5)",False
1.0251652412489416,"beta(2, 5)",True
1.007595684979775,"beta(5, 2)",False
1.020792738508004,"beta(5, 2)",True
1.0254936122746772,"beta(0.5, 0.5)",False
1.10597645196918,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0180177851938286,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.017617567416253,KDE,True
1.0,"uniform(0, 1)",False
1.0467760144055382,"uniform(0, 1)",True
1.0056679377426518,"beta(1, 6)",False
1.0156641150403702,"beta(1, 6)",True
1.0041173906808953,"beta(6, 1)",False
1.0121160134418308,"beta(6, 1)",True
1.0019843179069736,"beta(2, 5)",False
1.020632022552549,"beta(2, 5)",True
1.0046915187133352,"beta(5, 2)",False
1.0401551664935846,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0524714020619963,"beta(0.5, 0.5)",True
1.0007821059461925,"beta(0.6, 0.1)",False
1.0130541179047887,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0194260198620786,KDE,True
1.007851838307688,"uniform(0, 1)",False
1.0079900012999012,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0273059531897946,"beta(1, 6)",True
1.000618709344207,"beta(6, 1)",False
1.0172542307842511,"beta(6, 1)",True
1.0024264468347313,"beta(2, 5)",False
1.037503444434457,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0255390593316855,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.021899405344577,"beta(0.5, 0.5)",True
1.000191848441213,"beta(0.6, 0.1)",False
1.0110717028295604,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0173743430439417,"beta(0.1, 0.6)",True
1.0027549140568224,KDE,False
1.0373792228914833,KDE,True
1.0,"uniform(0, 1)",False
1.0737580452692863,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.048316162397687,"beta(1, 6)",True
1.0033746561671075,"beta(6, 1)",False
1.018632790825556,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0237463455060274,"beta(2, 5)",True
1.0009183387522071,"beta(5, 2)",False
1.0310866471676652,"beta(5, 2)",True
1.0656570561288334,"beta(0.5, 0.5)",False
1.0568878332822556,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.00498908510568,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.05920301837576,"beta(0.1, 0.6)",True
1.0114514671720414,KDE,False
1.0525853284019973,KDE,True
1.0,"uniform(0, 1)",False
1.067320791259069,"uniform(0, 1)",True
1.0118780796232503,"beta(1, 6)",False
1.040884615972955,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0130874312773863,"beta(6, 1)",True
1.0027208902805957,"beta(2, 5)",False
1.027296168860717,"beta(2, 5)",True
1.0007773202407348,"beta(5, 2)",False
1.0321685773172935,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0660401752042474,"beta(0.5, 0.5)",True
1.000126934355743,"beta(0.6, 0.1)",False
1.0126734858167967,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0004985423783375,KDE,False
1.0121807119307937,KDE,True
1.0,"uniform(0, 1)",False
1.0729345734258684,"uniform(0, 1)",True
1.0000300483026463,"beta(1, 6)",False
1.0644660142164069,"beta(1, 6)",True
1.0017917737505868,"beta(6, 1)",False
1.0176511393897503,"beta(6, 1)",True
1.0001624906567872,"beta(2, 5)",False
1.0402472789065822,"beta(2, 5)",True
1.0033397203407912,"beta(5, 2)",False
1.0117202753693655,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.1817521553031896,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0559746267752168,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0020904508206512,KDE,False
1.0267619228997482,KDE,True
1.0,"uniform(0, 1)",False
1.065570495606288,"uniform(0, 1)",True
1.0022259668393352,"beta(1, 6)",False
1.035922419047088,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.011191221677288,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0550742023616881,"beta(2, 5)",True
1.0122875108269473,"beta(5, 2)",False
1.012241992500188,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0452240949656888,"beta(0.5, 0.5)",True
1.0115690277713396,"beta(0.6, 0.1)",False
1.0428802816936216,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.024416976191926,"beta(0.1, 0.6)",True
1.013281298310465,KDE,False
1.0448866412623687,KDE,True
1.0,"uniform(0, 1)",False
1.0314907771822497,"uniform(0, 1)",True
1.0068160760318146,"beta(1, 6)",False
1.0211569442723267,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0294105257801915,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.013242320197724,"beta(2, 5)",True
1.0015967573937579,"beta(5, 2)",False
1.0184305428516285,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.1276308940824584,"beta(0.5, 0.5)",True
1.004177472621203,"beta(0.6, 0.1)",False
1.0280690201417217,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0017101484527997,KDE,False
1.020505423284143,KDE,True
1.0003376801984332,"uniform(0, 1)",False
1.0490715054991675,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0536007988721803,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0057956790275293,"beta(6, 1)",True
1.0234375847223276,"beta(2, 5)",False
1.0337229395086216,"beta(2, 5)",True
1.0019081604396476,"beta(5, 2)",False
1.018379182692886,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0788803449946847,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0208389282967818,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.036291789611867,KDE,True
1.0036907249448017,"uniform(0, 1)",False
1.047257043152891,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.060414307879398,"beta(1, 6)",True
1.0018905373814695,"beta(6, 1)",False
1.0177517876020834,"beta(6, 1)",True
1.0057666968512264,"beta(2, 5)",False
