"uniform(0, 1)","uniform(0, 1)_sorted","beta(1, 6)","beta(1, 6)_sorted","beta(6, 1)","beta(6, 1)_sorted","beta(2, 5)","beta(2, 5)_sorted","beta(5, 2)","beta(5, 2)_sorted","beta(0.5, 0.5)","beta(0.5, 0.5)_sorted","beta(0.6, 0.1)","beta(0.6, 0.1)_sorted","beta(0.1, 0.6)","beta(0.1, 0.6)_sorted"
1.0059558238739066,1.056668873303457,1.0,1.0312454113637683,1.00125490875908,1.0154718842277561,1.0160705058779225,1.0442062608413094,1.0000563877394466,1.025708260387238,1.0,1.055527443442066,1.0,1.023557293737007,0.9999999999999999,1.0
1.0,1.0391679141072627,1.0136779805518144,1.0633406535969752,1.0010793765740909,1.0098809989371182,1.005787554568042,1.0428017307145847,1.0,1.0183299758528224,1.0,1.0555326948313408,1.0015763351454325,1.0173717514568683,1.0,1.0
1.0,1.018503626028107,1.0,1.1079720842839886,1.0005273059965296,1.0230877935499898,1.000856056600448,1.0251153118527463,1.0,1.0158092446253615,1.0,1.056820340700399,1.0000503607309534,1.013359126792489,1.0,1.0
1.000301180264314,1.0608580201846296,1.0,1.0095223245205294,1.0022135920917945,1.0139081362659168,1.0049254988042686,1.0340924546907408,1.003709179158652,1.0230698715816628,1.0,1.0538663998393025,1.0055914203301612,1.0217136627824452,1.0,1.0
1.0,1.0242469475488025,1.0055646082050262,1.0223839869018765,1.0017213417866015,1.0126738183992066,1.0,1.0273796965268989,1.0,1.018463954186487,1.0,1.050274753157124,1.0022971880949445,1.0157987427967559,1.0,1.0
1.0,1.0365661771821608,1.0,1.031601072696963,1.0,1.008984252279768,1.0008662741184136,1.0560853231709229,1.0026168411337144,1.0288065626913858,1.0061973265127386,1.0697284322253802,1.0,1.028823605125366,1.0,1.0
1.0,1.0769254364621095,1.0102895347400502,1.0259048104018358,1.0011718928471676,1.0181687429580966,1.005844555157175,1.0320155565958025,1.0003216368402965,1.025504244896536,1.0042351100401448,1.0467672349072565,1.0,1.0142827051357892,1.0,1.0239024088178834
1.0,1.0368848610277603,1.0,1.0229333795248765,1.0020190897461732,1.0082655989049396,1.0,1.008452855056347,1.0,1.0065069991814122,1.012840304270117,1.0444083557979889,1.0,1.0149200335232385,1.0,1.001425882621343
1.0059959802544718,1.0274051667636293,1.0,1.0209430123942949,1.0003572932869622,1.0185915900652451,1.0001484040627096,1.0281315572321112,1.0,1.0296911658440144,1.0094108010532623,1.046973086928692,1.000203442334214,1.0147650820063454,1.0,1.0031231639815703
1.0050558384446244,1.0583206205228126,1.0,1.0596257295202691,1.003219197470579,1.0141237789169468,1.0298296088139525,1.0094740634615094,1.0011226039944594,1.0142400129468723,1.0,1.0717093402333422,1.0,1.0404242937992365,1.0,1.0
1.017583265948561,1.0286197749459052,1.0,1.0709513448986272,1.0,1.0100205444057457,1.0014359894865055,1.0,1.003082779455364,1.0375709402927604,1.0056143849364303,1.0918454051066342,1.0010009291704107,1.011799655253608,1.0,1.0103874285480137
1.0,1.0510596295347665,1.0078149838469823,1.015395857899719,1.0,1.0199165975263054,1.0099234390719076,1.0378963636904022,1.0002440871655232,1.0300368840428653,1.0009000429378283,1.0678307480717595,1.0,1.0099927156517563,1.0,1.0
1.012359273989817,1.0454090787087822,1.0000000000000002,1.0264534270929868,1.000633941848533,1.0128162239964673,1.0,1.0251449504109973,1.0,1.0141582380709055,1.0,1.0705266238984006,1.002500542147583,1.0222411057371483,1.0,1.0
1.0,1.0635354776628108,1.0,1.0289275370152655,1.0016311756709453,1.0184714445042937,1.0,1.0478372506961224,1.0,1.0083128537245498,1.0207585775775418,1.0712663650361418,1.0005943719938635,1.0125344227440558,1.0,1.0
1.0047642555292173,1.0261713052217474,1.0000398203306682,1.0197758710498903,1.0,1.008591712498142,1.0292507569165072,1.0387122271356843,1.0008379499334366,1.0203612303836926,1.0,1.0486486246987097,1.0038428332190859,1.0153464005225887,1.0,1.0159028383546937
1.0160496825697931,1.0282430623781482,1.0073368248621462,1.0522804922141917,1.0,1.0133206586680827,1.0087598259442958,1.035705816210147,1.0,1.0224240532293416,1.0,1.0985747042839686,1.002858711251729,1.0108801510347085,1.0,1.0263129822565158
1.000949538440612,1.073564709453714,1.005181174232627,1.0063291561347463,1.0003219260842402,1.0157026362772439,1.0,1.0320162320005675,1.0044643460563334,1.0351736499131934,1.0020332227982502,1.0502038561591736,1.0,1.057154585496941,1.0,1.0
1.02607979860116,1.0439729157710544,1.0,1.0725379836378175,1.003194624510594,1.0126931592722936,1.0,1.0115772123405389,1.0,1.040837602256656,1.0042090494563312,1.0894534639998783,1.0042724799911182,1.0223469942090313,1.0,1.0
1.0221150035803916,1.0142320796172424,1.00737552632316,1.0114537782892212,1.0008589845981144,1.0174950505719955,1.004925715480113,1.024199415685349,1.0012462698405964,1.0185732471638809,1.0,1.0660062019642478,1.0,1.0102861545254591,1.0,1.0
1.0,1.0374347156672334,1.0,1.0237575594419714,1.0035491314414,1.0199096910719339,1.0,1.0238606750761823,1.0,1.007795575527691,1.0009147095179232,1.0224928445999197,1.0,1.025865866231698,1.0,1.0
1.008006265180578,1.0264071375687862,1.0,1.0213535997359287,1.0,1.0053627237377085,1.0009882676602764,1.0433973310374516,1.007683025639496,1.0281744252061584,1.004716773803637,1.0285258603112752,1.0,1.0133708449498129,1.0,1.0057220984403485
1.0019664991727246,1.0228337979042268,1.0,1.087502984929051,1.0012437653803663,1.0080891693190976,1.0001697024550287,1.0436116859807063,1.0,1.0326930260662022,1.0,1.102506671542443,1.0,1.0230428925905597,1.0,1.0
1.0,1.0511370480272557,1.0099082597779916,1.005982322061317,1.0042801590673534,1.02018966487248,1.0027584277225945,1.0378189690005821,1.0,1.016744997562782,1.0,1.0710403346816286,1.0,1.0148214285714285,1.0,1.0
1.0,1.0559746376523387,1.0110849253357805,1.0036695162543807,1.0059738354401868,1.0156361461764032,1.011899419896522,1.0276383615675762,1.0,1.010462486980831,1.0,1.101532773920611,1.0,1.0039548404234442,1.0,1.0048415729732636
1.0,1.0785924939819123,1.0,1.0147257098804214,1.0,1.023675437600204,1.0080712678190833,1.0505559607627153,1.0032908331756154,1.0165497973245703,1.0,1.1497535904817349,1.0,1.0198088572514545,1.0,1.0
1.0,1.008807336185504,1.0035149868761586,1.0311033439334296,1.0004424965039573,1.0103739816664776,1.0,1.0701565569338771,1.0,1.0177703011526726,1.0,1.0458459355288714,1.0000460064673347,1.0048134667958686,1.0,1.0210481453985536
1.0124796192295655,1.0638148114671657,1.0380107409826551,1.0068123640967768,1.0012129568140542,1.008576149953914,1.0102276321188945,1.0535995071447524,1.0001212848012428,1.0288260942506662,1.0,1.0353541427825843,1.008773385739002,1.0315339894226754,1.0,1.0
1.0204848681393153,1.021517036639986,1.0,1.0591502444870984,1.0019327464081695,1.0065174585249863,1.0130842922786467,1.011577196002839,1.0,1.0269915288475253,1.0,1.0410809316900547,1.0000575233569962,1.0164209401023736,1.0,1.0285230920043638
1.0,1.0107625575508152,1.0352634992433436,1.0296525999446127,1.0,1.0103852246709089,1.0,1.0188912011554885,1.0013399980231852,1.0211452328201367,1.0015832921017682,1.050918214531169,1.0042877785125028,1.0202441456740623,1.0,1.0
1.0145537651620247,1.0410848701821087,1.010472114949727,1.0505361770712187,1.0,1.0043659749764446,1.0421598098280653,1.0192963856024568,1.0000861521354818,1.0185990901056852,1.0148045075578949,1.02996812832548,1.0012389928240204,1.006823040485097,1.0,1.0
1.0093087364442002,1.0320531051243602,1.0,1.0488032817870616,1.0,1.0051929326051978,1.0,1.020199968828666,1.0060215622883122,1.021035766084394,1.0,1.0607817307885687,1.0,1.0214955882785914,1.0,1.0
1.017055807605769,1.0682650154376268,1.0218974721215421,1.0113442392363425,1.0,1.010470860858553,1.0,1.0492603465147066,1.0,1.0398798209778648,1.0047100808116558,1.0243963766829398,1.0,1.0046730579937317,1.0,1.0
1.0,1.06019431911641,1.0216372385910304,1.0208918585173496,1.001643563654412,1.0120514155201759,1.0,1.0350985289948158,1.0,1.027078047356944,1.0,1.0642302009051379,1.0000456026790583,1.0204868645326302,1.0,1.0
1.0219418811997887,1.0667148103191308,1.001414771094458,1.0434813035060302,1.000296599590991,1.0174434549737037,1.0,1.021728453272038,1.0011112876044586,1.0172241825890485,1.0109592549034485,1.0885856108398297,1.0,1.0073124569046206,1.0,1.0
1.0,1.1328603887712314,1.0,1.027937892349083,1.0015403164130987,1.0210260765083703,1.0,1.0509991687019504,1.007038845186315,1.036580444426189,1.0,1.07300416887049,1.0,1.0400860313738614,1.0,1.0
1.0,1.0341151869251561,1.0,1.0562064347766373,1.002001901522354,1.0243782569616362,1.0005365269461077,1.038487615049549,1.0007618424435047,1.0383138914778813,1.0,1.0591578551047127,1.0013389177468517,1.0422310656637643,1.0,1.0
1.0,1.0832126140233567,1.0,1.0530110593594186,1.000100914931465,1.017278833908532,1.0,1.0207510913856623,1.0000006791000837,1.0291911236063565,1.0,1.0272480368133767,1.0,1.0256970723394714,1.0,1.0
1.0,1.098583403012099,1.0,1.0201937994353873,1.000399157183024,1.012359326261062,1.000406762924541,1.019598061348531,1.0,1.021311721758953,1.0,1.069169507729495,1.0,1.0213007510325798,1.0,1.0
1.0,1.0241640605992801,1.0027091933947283,1.033749444541948,1.0116451246750393,1.0196053327583243,1.0016762761292048,1.014666925491902,1.00300012781751,1.0174916819719722,1.0076636154752086,1.0310944964233866,1.0,1.0079087244758358,1.0,1.0
1.0064692124229793,1.0307700236271664,1.0,1.071181505196435,1.0,1.0160948159993153,1.0,1.0275346048001754,1.0002541799829119,1.019752686244331,1.0386750666811493,1.1284598365467107,1.0,1.0251875456170105,1.0,1.0
1.0234221546899902,1.0691340330761991,1.001274512176431,1.0494385395100396,1.0,1.012812058525274,1.0001554911455082,1.0241210270730567,1.0023441809156095,1.0357527917338636,1.015378500834636,1.0341581308650323,1.0066855773835794,1.0092082180440491,1.0,1.0008531210009954
1.0103569350650852,1.025467243309233,1.0180044325633466,1.0302235142285052,1.0,1.0137688028130247,1.0048504644479102,1.0251379416167195,1.0,1.019601573242094,1.0,1.1287514548955193,1.0,1.0187382563745038,1.0,1.0180208845564203
1.032847490831069,1.0372145181817667,1.0,1.0389596516947468,1.0,1.0134553116037393,1.0,1.0194701891077815,1.0025217271653009,1.0292292584190643,1.0,1.1280172385264804,1.0001130896018082,1.0256565779934164,1.0,1.0
1.0,1.050199292194483,1.0026747129104634,1.0416848633943274,1.0008117643662975,1.0112707722265528,1.0,1.0183414689593768,1.001551169610999,1.0265996763742093,1.0021342436036496,1.035263843441243,1.0008989676716025,1.0083959521464216,1.0,1.0005716798592788
1.0,1.0642944133772163,1.0,1.0477614601870187,1.000195924386699,1.0165091662622612,1.0,1.0378974983160605,1.0,1.024524975753798,1.0,1.0894044216927263,1.0,1.0135958368318365,1.0,1.1723160877321859
1.0060705408845265,1.0272338010192834,1.0,1.0750974700302431,1.0,1.0096870754963565,1.0,1.0328702832789523,1.0015330950325094,1.029877692839269,1.002349389523914,1.0555762001807167,1.0059453277518235,1.0106716803199753,1.0,1.0000805412371134
